new_agreementnumber	new_effectivedate	new_expirydate	new_settlementdate	new_jurprov	new_jurisdictioncode	new_employeecount	new_naicscodeid_firsttwodigit	new_publicprivate	new_naicscodeid	new_summaryreportavailabilityindicator	new_province	new_provinceenglish	new_provincefrench	new_citynameenglish	new_citynamefrench	new_cityprovincenameenglish	new_cityprovincenamefrench	new_unionid	new_unionnameenglish	new_unionnamefrench	new_affiliationtext	new_unionacronymenglish	new_unionacronymfrench	new_noccodeid	new_name_e	new_name_f	new_companyofficialnameeng	new_companyofficialnamefra	new_currentagreementindicator
14219-02	2014-04-02	2019-04-01	2014-04-02	F20	20	34	48	Private	484122	No	24	Quebec		Thetford Mines	Thetford Mines	Quebec	Québec	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Transport Jeymar	Transport Jeymar	Current
14221-03	2014-07-01	2018-04-30	2014-07-01	F20	20	90	48	Private	484110	No	35	Ontario		Whitchurch-Stouffville	Whitchurch-Stouffville	Ontario	Ontario	3007	Canadian National Federation of Independent Unions	Fédération canadienne nationale des syndicats indépendants	1	AFL-CIO/CLC	FAT-COI/CTC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Don Anderson Haulage Limited	Don Anderson Haulage Limited	Active
14223-02	2010-10-01	2015-09-30	2010-10-01	F20	20	38	48	Private	483116	No	99	Multiprovince		Province wide	à l'échelle de la province	British Columbia	Colombie-Britannique	390	Seafarers' International Union of Canada	Syndicat international des marins du Canada	1	AFL-CIO/CLC	FAT-COI/CTC	6742	6742 - Other service support occupations, n.e.c.	6742 - Autre personnel de soutien en service, n.c.a.	Harken Towing Company Ltd.	Harken Towing Company Ltd.	Active
14224-02	2013-01-01	2017-12-31	2013-04-29	F20	20	15	48	Private	484121	No	24	Quebec		Province wide	à l'échelle de la province	Quebec	Québec	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Summum Services Dédiés inc.	Summum Services Dédiés inc.	Active
14240-02	2014-09-01	2018-08-31	2014-09-01	F20	20	50	48	Private	485990	No	24	Quebec		Montréal	Montréal	Quebec	Québec	543	Fédération des employées et employés de services publics inc.	Fédération des employées et employés de services publics inc.	4	CSN	CSN	7512	7512 - Bus drivers, subway operators and other transit operators	7512 - Conducteurs/conductrices d'autobus et opérateurs/opératrices de métro et autres transports en	Trentway-Wagar Inc.	Trentway-Wagar inc.	Current
14265-02	2013-04-01	2017-03-31	2013-04-01	F20	20	68	91	Public	91411	No	62	Nunavut		Kugaaruk	Kugaaruk	Nunavut	Nunavut	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	1	1 - Business, finance and administration occupations	1 - Affaires, finance et administration	Hamlet of Kugaaruk	Hamlet of Kugaaruk	Active
14267-03	2014-04-01	2018-03-31	2014-06-05	F20	20	280	48	Private	484210	Yes	59	British Columbia		Coquitlam	Coquitlam	British Columbia	Colombie-Britannique	606	Unifor	Unifor	3	CLC	CTC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	Williams Moving and Storage (B.C.) LTD.	Williams Moving and Storage (B.C.) LTD.	Active
14269-03	2015-10-01	2016-09-30	2016-08-01	F20	20	7	51	Private	517111	No	24	Quebec		Les Îles-de-la-Madeleine	Les Îles-de-la-Madeleine	Quebec	Québec	606	Unifor	Unifor	3	CLC	CTC	223	223 - Technical occupations in civil, mechanical and industrial engineering	223 - Personnel technique en génie civil, mécanique et industriel	9305-2140 Québec inc. (NORFIB)	9305-2140 Québec inc. (NORFIB)	Active
14270-02	2013-03-03	2016-08-14	2013-03-03	F20	20	34	48	Private	48412	No	35	Ontario		London	London	Ontario	Ontario	383	National Automobile, Aerospace, Transportation and General Workers Union of Canada (CAW Canada)	Synd. nat. de l'automobile, de l'aérospatiale, du transport et des autres trav. et travailleuses du Canada (TCA Canada)	3	CLC	CTC	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	HCL	HCL	Active
14271-02	2015-09-16	2020-01-20	2015-09-16	F20	20	24	48	Private	48412	No	24	Quebec		Lévis	Lévis	Quebec	Québec	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Transport Hervé Lemieux	Transport Hervé Lemieux	Current
14276-02	2016-01-01	2020-12-31	2016-01-01	F20	20	22	48	Private	48811	No	24	Quebec		Québec	Québec	Quebec	Québec	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	4312	4312 - Firefighters	4312 - Pompiers/pompières	Aéroport de Québec inc.	Aéroport de Québec inc.	Current
14279-03	2015-01-01	2018-12-31	2015-01-30	F20	20	150	51	Private	515120	Yes	35	Ontario		Toronto	Toronto	Ontario	Ontario	606	Unifor	Unifor	3	CLC	CTC	5225	5225 - Audio and video recording technicians	5225 - Techniciens/techniciennes en enregistrement audio et vidéo	Rogers Media Inc. dba Sportsnet	Rogers Media Inc. dba Sportsnet	Current
14291-03	2016-04-01	2019-03-31	2016-11-21	F20	20	95	48	Private	488119	No	35	Ontario		Toronto	Toronto	Ontario	Ontario	606	Unifor	Unifor	3	CLC	CTC	7534	7534 - Air transport ramp attendants	7534 - Agents/agentes de piste dans le transport aérien	WEBB Airport Services, Division	WEBB Airport Services, Division	Current
14295-02	2014-05-23	2020-05-24	2014-05-23	F20	20	8	49	Private	492110	No	24	Quebec		Montréal	Montréal	Quebec	Québec	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	Dynamex Canada Corp.	Dynamex Canada Corp.	Current
14301-02	2016-01-01	2019-08-31	2016-09-01	F20	20	80	48	Private	484121	No	24	Quebec		Montréal	Montréal	Quebec	Québec	606	Unifor	Unifor	3	CLC	CTC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Transports R.M.T inc.	Transports R.M.T inc.	Current
14305-02	2012-04-01	2015-03-31	2012-04-01	F20	20	15	33	Private	339110	No	35	Ontario		Ottawa	Ottawa	Ontario	Ontario	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	2253	2253 - Drafting technologists and technicians	2253 - Technologues et techniciens/techniciennes en dessin	Best Theratronics Ltd.	Best Theratronics Ltd.	Active
14311-03	2012-01-01	2014-12-31	2012-01-01	F20	20	5	81	Private	813930	No	62	Nunavut		Iqaluit	Iqaluit	Nunavut	Nunavut	2794	The Canadian Union of Labour Employees	The Canadian Union of Labour Employees	8	Independent-natl.	Synd. ind. national	1211	1211 - Supervisors, general office and administrative support workers	1211 - Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif	Nunavut Employees Union	Nunavut Employees Union	Active
