new_agreementnumber	new_effectivedate	new_expirydate	new_settlementdate	new_jurprov	new_jurisdictioncode	new_employeecount	new_naicscodeid_firsttwodigit	new_publicprivate	new_naicscodeid	new_summaryreportavailabilityindicator	new_province	new_provinceenglish	new_provincefrench	new_citynameenglish	new_citynamefrench	new_cityprovincenameenglish	new_cityprovincenamefrench	new_unionid	new_unionnameenglish	new_unionnamefrench	new_affiliationtext	new_unionacronymenglish	new_unionacronymfrench	new_noccodeid	new_name_e	new_name_f	new_companyofficialnameeng	new_companyofficialnamefra	new_currentagreementindicator
04026-10	2016-12-01	2020-11-30	2017-02-23	F20	20	5160	51	Private	517910	Yes	99	Multiprovince		Province wide	à l'échelle de la province	Ontario	Ontario	606	Unifor	Unifor	3	CLC	CTC	6513	6513 - Food and beverage servers	6513 - Serveurs/serveuses d'aliments et de boissons	Bell Canada	Bell Canada	Current
04027-09	2013-11-25	2015-11-24	2013-12-03	F20	20	190	51	Private	517111	Yes	99	Multiprovince		Province wide	à l'échelle de la province	Ontario	Ontario	606	Unifor	Unifor	3	CLC	CTC	1414	1414 - Receptionists	1414 - Réceptionnistes	Bell Canada	Bell Canada	Active
04028-10	2013-06-01	2017-11-30	2013-06-28	F20	20	6000	51	Private	517111	Yes	99	Multiprovince		Province wide	à l'échelle de la province	Ontario	Ontario	439	Communications, Energy and Paperworkers Union of Canada	Syndicat canadien des communications, de l'énergie et du papier	3	CLC	CTC	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	Bell Canada	Bell Canada	Active
04029-11	2014-01-01	2018-12-31	2013-12-21	F20	20	690	51	Private	517910	Yes	99	Multiprovince		Province wide	à l'échelle de la province	Quebec	Québec	606	Unifor	Unifor	3	CLC	CTC	6	6 - Sales and service occupations	6 - Vente et services	Bell Canada	Bell Canada	Current
04048-09	2012-12-18	2016-04-27	2012-12-18	F20	20	20	51	Private	517112	No	59	British Columbia		Delta	Delta	British Columbia	Colombie-Britannique	161	International Brotherhood of Electrical Workers	Fraternité internationale des ouvriers en électricité	1	AFL-CIO/CLC	FAT-COI/CTC	223	223 - Technical occupations in civil, mechanical and industrial engineering	223 - Personnel technique en génie civil, mécanique et industriel	Persona Communications Inc. o/a Delta Cable Communications	Persona Communications Inc. o/a Delta Cable Communications	Active
04049-11	2012-04-23	2014-12-31		F20	20	70	51	Private	517910	No	99	Multiprovince		Province wide	à l'échelle de la province	Quebec	Québec	140	Canadian Overseas Telecommunications Union	Syndicat canadien des télécommunications transmarines	5	CCU	CCU	1123	1123 - Professional occupations in advertising, marketing and public relations	1123 - Professionnels/professionnelles en publicité, en marketing et en relations publiques	TATA Communications (Canada ULC)	TATA Communications (Canada ULC)	Active
04051-12	2015-04-01	2018-03-31	2016-03-31	F20	20	90	56	Private	561430	No	35	Ontario		Toronto	Toronto	Ontario	Ontario	352	Communications Workers of America, Canada	Syndicat des communications d'Amérique, Canada	3	CLC	CTC	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	Reuters Canada Limited	Reuters Canada Limited	Active
04052-11	2012-01-01	2015-12-31	2012-05-08	F20	20	501	51	Private	517910	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	383	National Automobile, Aerospace, Transportation and General Workers Union of Canada (CAW Canada)	Synd. nat. de l'automobile, de l'aérospatiale, du transport et des autres trav. et travailleuses du Canada (TCA Canada)	3	CLC	CTC	1414	1414 - Receptionists	1414 - Réceptionnistes	Allstream Inc.	Allstream Inc.	Active
04053-12	2016-01-01	2018-12-31	2016-01-01	F20	20	25	51	Private	517910	No	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	7246	7246 - Telecommunications installation and repair workers	7246 - Installateurs/installatrices et réparateurs/réparatrices de matériel de télécommunications	Allstream Corporation	Corporation Allstream	Current
04054-15	2013-04-01	2015-03-31	2013-04-01	F20	20	50	51	Private	517910	No	99	Multiprovince		Montréal	Montréal	Quebec	Québec	439	Communications, Energy and Paperworkers Union of Canada	Syndicat canadien des communications, de l'énergie et du papier	3	CLC	CTC	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	TATA Communications (Canada ULC)	TATA Communications (Canada ULC)	Active
04056-11	2012-09-01	2016-08-31	2014-04-28	F21	21	1640	49	Public	491110	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	223	223 - Technical occupations in civil, mechanical and industrial engineering	223 - Personnel technique en génie civil, mécanique et industriel	Canada Post Corporation	Société canadienne des postes	Active
04135-10	2004-02-01	2010-01-31	2004-02-01	F20	20	4	22	Public	221122	No	24	Quebec		Waltham	Waltham	Quebec	Québec	161	International Brotherhood of Electrical Workers	Fraternité internationale des ouvriers en électricité	1	AFL-CIO/CLC	FAT-COI/CTC	7243	7243 - Power system electricians	7243 - Électriciens/électriciennes de réseaux électriques	Hydro-Pontiac Inc.	Hydro-Pontiac Inc.	Active
04136-14	2015-01-01	2016-12-31	2015-01-01	F20	20	51	22	Public	221111	No	60	Yukon Territory		Whitehorse	Whitehorse	Yukon Territory	Yukon	2432	Canadian Energy Workers' Association	Canadian Energy Workers' Association	9	Independent-local	Synd. ind. local	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	Yukon Electrical Company Limited (an ATCO Company)	Yukon Electrical Company Limited (an ATCO Company)	Active
04163-14	2015-01-01	2016-12-31	2015-01-01	F20	20	19	22	Private	221210	No	61	Northwest Territories		Yellowknife	Yellowknife	Northwest Territories	Territoires du Nord-Ouest	2095	United Utility Workers' Association of Canada	United Utility Workers' Association of Canada	9	Independent-local	Synd. ind. local	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Northland Utilities (Yellowknife) Limited	Northland Utilities (Yellowknife) Limited	Active
04422-11	2012-04-27	2014-04-30	2012-04-27	F10	10	95	91	Public	911110	No	12	Nova Scotia		Kings, Subd. A	Kings, Subd. A	Nova Scotia	Nouvelle-Écosse	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	Canadian Forces Base	Base des Forces canadiennes	Active
04424-10	2009-03-01	2012-02-28	2009-03-01	F10	10	42	91	Public	911110	No	13	New Brunswick		Gagetown	Gagetown	New Brunswick	Nouveau-Brunswick	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	Canadian Forces Base	Base des Forces canadiennes	Active
04435-11	2012-12-01	2015-11-30	2012-12-01	F10	10	27	91	Public	911110	No	24	Quebec		Saguenay	Saguenay	Quebec	Québec	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	1221	1221 - Administrative officers	1221 - Agents/agentes d'administration	Canadian Forces Base	Base des Forces canadiennes	Active
04451-11	2012-08-02	2015-08-01	2012-12-19	F10	10	85	91	Public	911110	No	35	Ontario		Essa	Essa	Ontario	Ontario	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	Canadian Forces Base	Base des Forces canadiennes	Active
04452-12	2015-04-01	2019-03-31	2015-04-01	F10	10	80	91	Public	911110	No	35	Ontario		Ottawa	Ottawa	Ontario	Ontario	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	Canadian Forces Base	Base des Forces canadiennes	Current
04456-10	2012-02-12	2014-11-30	2012-02-12	F10	10	60	91	Public	911110	No	46	Manitoba		Brandon	Brandon	Manitoba	Manitoba	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	Canadian Forces Base	Base des Forces canadiennes	Active
04507-08	2012-01-01	2017-12-31	2012-05-15	F20	20	2300	52	Private	522111	Yes	99	Multiprovince		Province wide	à l'échelle de la province	Quebec	Québec	311	Canadian Office and Professional Employees Union	Syndicat canadien des employées et employés professionnels et de bureau	3	CLC	CTC	1221	1221 - Administrative officers	1221 - Agents/agentes d'administration	Laurentian Bank of Canada and Laurentian Trust of Canada	Banque Laurentienne du Canada et Trust La Laurentienne du Canada	Active
04570-20	2016-07-01	2018-06-30	2016-07-01	F20	20	660	52	Private	522190	Yes	35	Ontario		Toronto	Toronto	Ontario	Ontario	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	1434	1434 - Banking, insurance and other financial clerks	1434 - Commis de banque, d'assurance et d'autres services financiers	Canadian Imperial Bank of Commerce-Visa Centre	Banque Canadienne Impériale de Commerce-Centre Visa	Current
04583-11	2013-01-01	2018-03-31	2013-01-01	F21	21	32	52	Public	5222	No	12	Nova Scotia		Cape Breton	Cape Breton	Nova Scotia	Nouvelle-Écosse	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	Enterprise Cape Breton Corporation	Enterprise Cape Breton Corporation	Active
04584-11	2014-10-01	2018-09-30	2014-10-01	F20	20	45	91	Public	913910	No	61	Northwest Territories		Inuvik	Inuvik	Northwest Territories	Territoires du Nord-Ouest	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	1224	1224 - Property administrators	1224 - Agents/agentes de gestion immobilière	Inuvik Housing Authority	Inuvik Housing Authority	Current
04966-12	2010-08-01	2013-07-31	2010-08-01	F20	20	40	61	Public	611110	No	46	Manitoba		Nelson House 170	Nelson House 170	Manitoba	Manitoba	568	Manitoba Teachers' Society	Manitoba Teachers' Society	8	Independent-natl.	Synd. ind. national	403	403 - Secondary and elementary school teachers and educational counsellors	403 - Enseignants/enseignantes aux niveaux secondaire, primaire et préscolaire et conseillers/consei	Nelson House Education Authority Inc.	Association d'education de la Maison Neilson inc.	Active
05194-16	2016-09-01	2020-08-31	2016-09-27	F20	20	220	61	Public	611110	Yes	61	Northwest Territories		Yellowknife	Yellowknife	Northwest Territories	Territoires du Nord-Ouest	579	Northwest Territories Teachers' Association	Northwest Territories Teachers' Association	8	Independent-natl.	Synd. ind. national	403	403 - Secondary and elementary school teachers and educational counsellors	403 - Enseignants/enseignantes aux niveaux secondaire, primaire et préscolaire et conseillers/consei	Board of Education for Yellowknife District No. 1	Board of Education for Yellowknife District No. 1	Current
05195-13	2015-07-01	2016-06-30	2015-06-30	F20	20	30	61	Public	611110	No	61	Northwest Territories		Yellowknife	Yellowknife	Northwest Territories	Territoires du Nord-Ouest	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	Yellowknife Education District No. 1	Yellowknife Education District No. 1	Active
06321-12	2012-12-17	2014-06-30	2012-05-18	F10	10	150	51	Public	512110	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	598	Professional Institute of the Public Service of Canada	L'Institut professionnel de la fonction publique du Canada	8	Independent-natl.	Synd. ind. national	1221	1221 - Administrative officers	1221 - Agents/agentes d'administration	National Film Board of Canada	Office national du film du Canada	Active
06322-13	2012-12-17	2014-06-30	2012-04-20	F10	10	120	51	Public	512110	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	600	Canadian Union of Public Employees	Syndicat canadien de la fonction publique	3	CLC	CTC	223	223 - Technical occupations in civil, mechanical and industrial engineering	223 - Personnel technique en génie civil, mécanique et industriel	National Film Board of Canada	Office national du film du Canada	Active
06327-12	2012-04-01	2015-03-31	2012-04-01	F21	21	9	71	Public	711190	No	35	Ontario		Ottawa	Ottawa	Ontario	Ontario	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	6742	6742 - Other service support occupations, n.e.c.	6742 - Autre personnel de soutien en service, n.c.a.	National Arts Centre Corporation	Société du Centre National des Arts	Active
06328-13	2014-09-01	2018-08-31	2015-08-10	F21	21	170	71	Public	711190	Yes	35	Ontario		Ottawa	Ottawa	Ontario	Ontario	488	UNITE HERE Canada	UNITE HERE Canada	1	AFL-CIO/CLC	FAT-COI/CTC	6513	6513 - Food and beverage servers	6513 - Serveurs/serveuses d'aliments et de boissons	National Arts Centre Corporation	Société du Centre national des Arts	Current
06330-11	2011-09-01	2014-08-31	2012-03-09	F21	21	220	71	Public	7111	Yes	35	Ontario		Ottawa	Ottawa	Ontario	Ontario	392	International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, Its Territories and 	International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, Its Territories and 	1	AFL-CIO/CLC	FAT-COI/CTC	7611	7611 - Construction trades helpers and labourers	7611 - Aides de soutien des métiers et manoeuvres en construction	National Arts Centre Corporation	Société du Centre national des Arts	Active
06360-11	2014-06-23	2018-06-22	2014-10-09	F20	20	140	56	Private	561613	Yes	35	Ontario		Ottawa	Ottawa	Ontario	Ontario	606	Unifor	Unifor	3	CLC	CTC	6541	6541 - Security guards and related security service occupations	6541 - Agents/agentes de sécurité et personnel assimilé des services de sécurité	Brink's Canada Limited	Brink's Canada Limited	Current
06364-08	2013-09-21	2018-09-20	2013-09-21	F20	20	57	56	Private	561613	No	46	Manitoba		Province wide	à l'échelle de la province	Manitoba	Manitoba	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	6541	6541 - Security guards and related security service occupations	6541 - Agents/agentes de sécurité et personnel assimilé des services de sécurité	Brink's Canada Limited	Brink's Canada Limited	Current
06368-10	2014-09-20	2018-09-19	2014-09-16	F20	20	220	56	Private	561613	Yes	48	Alberta		Province wide	à l'échelle de la province	Alberta	Alberta	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	6541	6541 - Security guards and related security service occupations	6541 - Agents/agentes de sécurité et personnel assimilé des services de sécurité	Brink's Canada Limited	Brink's Canada Limited	Current
06377-11	2011-07-31	2015-07-30	2014-06-03	F10	10	120	54	Public	541330	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	594	Research Council Employees' Association	Association des employés du Conseil de recherches	8	Independent-natl.	Synd. ind. national	7611	7611 - Construction trades helpers and labourers	7611 - Aides de soutien des métiers et manoeuvres en construction	National Research Council of Canada	Conseil national de recherches Canada	Active
06383-11	2011-12-22	2014-12-21	2014-06-03	F10	10	180	54	Public	541710	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	594	Research Council Employees' Association	Association des employés du Conseil de recherches	8	Independent-natl.	Synd. ind. national	2281	2281 - Computer network technicians	2281 - Techniciens/techniciennes de réseau informatique	National Research Council Canada	Conseil national de recherches Canada	Active
06384-14	2011-07-20	2014-07-19	2014-05-01	F10	10	1540	54	Public	541330	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	598	Professional Institute of the Public Service of Canada	L'Institut professionnel de la fonction publique du Canada	8	Independent-natl.	Synd. ind. national	21	21 - Professional occupations in natural and applied sciences	21 - Personnel professionnel des sciences naturelles et appliquées	National Research Council Canada	Conseil national de recherches Canada	Active
06385-12	2011-06-21	2014-06-20	2014-05-01	F10	10	110	54	Public	541710	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	598	Professional Institute of the Public Service of Canada	L'Institut professionnel de la fonction publique du Canada	8	Independent-natl.	Synd. ind. national	6552	6552 - Other customer and information services representatives	6552 - Autres préposés/autres préposées aux services d'information et aux services à la clientèle	National Research Council Canada	Conseil national de recherches Canada	Active
06386-12	2009-05-11	2014-06-30	2009-05-11	F10	10	52	54	Public	541710	No	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	598	Professional Institute of the Public Service of Canada	L'Institut professionnel de la fonction publique du Canada	8	Independent-natl.	Synd. ind. national	5111	5111 - Librarians	5111 - Bibliothécaires	National Research Council Canada	Conseil national de recherches Canada	Active
06387-12	2011-01-01	2016-12-31	2012-09-07	F21	21	670	54	Public	541380	Yes	99	Multiprovince		Mississauga	Mississauga	Ontario	Ontario	2057	Society of Professional Engineers and Associates	Société des ingénieurs professionnels et associés	9	Independent-local	Synd. ind. local	21	21 - Professional occupations in natural and applied sciences	21 - Personnel professionnel des sciences naturelles et appliquées	Candu Energy Inc.	Candu Energy Inc.	Active
06389-11	2011-06-21	2014-06-20	2015-06-01	F10	10	5	54	Public	541710	No	35	Ontario		Ottawa	Ottawa	Ontario	Ontario	598	Professional Institute of the Public Service of Canada	L'Institut professionnel de la fonction publique du Canada	8	Independent-natl.	Synd. ind. national	5125	5125 - Translators, terminologists and interpreters	5125 - Traducteurs/traductrices, terminologues et interprètes	National Research Council Canada	Conseil national de recherches Canada	Active
06391-13	2011-08-01	2016-12-31	2011-08-01	F20	20	56	54	Private	541690	No	35	Ontario		Toronto	Toronto	Ontario	Ontario	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	223	223 - Technical occupations in civil, mechanical and industrial engineering	223 - Personnel technique en génie civil, mécanique et industriel	Candu Energy Inc.	Candu Energy Inc.	Active
06392-13	2014-04-01	2016-03-31	2015-06-19	F21	21	280	54	Public	541330	Yes	35	Ontario		Laurentian Hills	Laurentian Hills	Ontario	Ontario	276	Sheet Metal Workers' International Association	Association internationale des travailleurs de métal en feuilles	1	AFL-CIO/CLC	FAT-COI/CTC	76	76 - Trades helpers, construction labourers and related occupations	76 - Personnel de soutien des métiers, manoeuvres et aides d'entreprise en construction et autre per	Atomic Energy of Canada Limited	Énergie atomique du Canada limitée	Active
06395-13	2016-07-01	2019-06-30	2016-11-02	F21	21	220	54	Public	541690	Yes	35	Ontario		Laurentian Hills	Laurentian Hills	Ontario	Ontario	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	Atomic Energy of Canada Limited	Énergie atomique du Canada limitée	Current
06397-12	2014-04-01	2016-03-31	2014-11-04	F21	21	160	54	Public	541690	Yes	35	Ontario		Laurentian Hills	Laurentian Hills	Ontario	Ontario	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Atomic Energy of Canada Limited	Énergie atomique du Canada limitée	Active
06398-10	2011-04-01	2014-03-31	2012-12-04	F21	21	79	54	Public	541690	No	46	Manitoba		Pinawa	Pinawa	Manitoba	Manitoba	270	International Association of Machinists and Aerospace Workers	Association internationale des machinistes et des travailleurs et travailleuses de l'aérospatiale	1	AFL-CIO/CLC	FAT-COI/CTC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	Atomic Energy of Canada Limited	Énergie atomique du Canada limitée	Active
06399-10	2007-04-01	2012-03-31	2007-04-01	F21	21	28	54	Public	541690	No	46	Manitoba		Pinawa	Pinawa	Manitoba	Manitoba	170	International Association of Fire Fighters	Association internationale des pompiers	1	AFL-CIO/CLC	FAT-COI/CTC	4312	4312 - Firefighters	4312 - Pompiers/pompières	Atomic Energy of Canada Limited	Énergie atomique du Canada limitée	Active
06400-10	2014-04-01	2017-03-31	2015-03-10	F21	21	26	54	Public	541690	No	46	Manitoba		Pinawa	Pinawa	Manitoba	Manitoba	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Canadian Nuclear Laboratories	Laboratoires Nucléaires Canadiens	Active
06401-12	2011-04-01	2014-03-31	2011-04-01	F21	21	13	54	Public	541690	No	46	Manitoba		Pinawa	Pinawa	Manitoba	Manitoba	326	United Assn. of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada	Assoc. unie des compagnons et apprentis de l'industrie de la plomberie et de la tuyauterie des États-Unis et du Canada	1	AFL-CIO/CLC	FAT-COI/CTC	7611	7611 - Construction trades helpers and labourers	7611 - Aides de soutien des métiers et manoeuvres en construction	Atomic Energy of Canada Limited	Énergie atomique du Canada limitée	Active
06403-09	2014-01-01	2018-12-31	2014-05-22	F21	21	260	49	Public	492110	Yes	24	Quebec		Province wide	à l'échelle de la province	Quebec	Québec	606	Unifor	Unifor	3	CLC	CTC	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	Purolator inc.	Purolator inc.	Current
06575-13	2016-04-01	2019-03-31		F20	20	8	81	Private	813930	No	61	Northwest Territories		Yellowknife	Yellowknife	Northwest Territories	Territoires du Nord-Ouest	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	Union of Northern Workers	Union of Northern Workers	Current
06604-13	2017-06-30	2018-12-31	2017-06-30	F10	10	760	91	Public	911110	Yes	12	Nova Scotia		Halifax	Halifax	Nova Scotia	Nouvelle-Écosse	4015	Federal Government Dockyard Trades and Labour Council (East)	Conseil des métiers et du travail des chantiers maritimes du gouvernement fédéral (est)	1	AFL-CIO/CLC	FAT-COI/CTC	2273	2273 - Deck officers, water transport	2273 - Officiers/officières de pont du transport par voies navigables	Government of Canada	Gouvernement du Canada	Current
06611-13	2017-06-30	2019-01-30	2017-06-30	F10	10	830	91	Public	911110	Yes	59	British Columbia		Province wide	à l'échelle de la province	British Columbia	Colombie-Britannique	4016	Federal Government Dockyard Trades and Labour Council (Esquimalt) (West)	Conseil des métiers et du travail des chantiers maritimes du gouvernement fédéral (Esquimalt) (ouest)	1	AFL-CIO/CLC	FAT-COI/CTC	2273	2273 - Deck officers, water transport	2273 - Officiers/officières de pont du transport par voies navigables	Government of Canada	Gouvernement du Canada	Current
06612-12	2014-11-01	2017-10-31	2017-07-20	F20	20	69	91	Public	911910	No	24	Quebec		Québec	Québec	Quebec	Québec	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	National Battlefields Commission	Commission des champs de bataille nationaux	Active
06621-13	2011-10-01	2014-09-30	2011-10-01	F10	10	34	91	Public	911910	No	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7381	7381 - Printing press operators	7381 - Opérateurs/opératrices de presses à imprimer	Government of Canada	Gouvernement du Canada	Active
06633-13	2017-05-23	2018-04-30	2017-05-23	F10	10	350	91	Public	911910	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	606	Unifor	Unifor	3	CLC	CTC	5225	5225 - Audio and video recording technicians	5225 - Techniciens/techniciennes en enregistrement audio et vidéo	Government of Canada	Gouvernement du Canada	Active
06650-14	2017-07-04	2018-12-21	2017-05-24	F10	10	13260	91	Public	911910	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	598	Professional Institute of the Public Service of Canada	L'Institut professionnel de la fonction publique du Canada	8	Independent-natl.	Synd. ind. national	2281	2281 - Computer network technicians	2281 - Techniciens/techniciennes de réseau informatique	Government of Canada	Gouvernement du Canada	Current
06651-15	2017-04-13	2018-11-06	2017-01-06	F10	10	4270	91	Public	911910	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	414	Association of Canadian Financial Officers	Association canadienne des agents financiers	8	Independent-natl.	Synd. ind. national	11	11 - Professional occupations in business and finance	11 - Personnel professionnel en gestion des affaires et en finance	Government of Canada	Gouvernement du Canada	Current
06660-13	2011-05-10	2014-05-09	2012-10-21	F10	10	2380	91	Public	911910	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	494	Association of Justice Counsel	Association des juristes de Justice	8	Independent-natl.	Synd. ind. national	4112	4112 - Lawyers and Quebec notaries	4112 - Avocats/avocates (partout au Canada) et notaires (au Québec)	Government of Canada	Gouvernement du Canada	Active
06668-13	2017-03-13	2018-04-18	2017-03-13	F10	10	820	91	Public	911910	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	484	Canadian Association of Professional Employees	Association canadienne des employés professionnels	8	Independent-natl.	Synd. ind. national	5125	5125 - Translators, terminologists and interpreters	5125 - Traducteurs/traductrices, terminologues et interprètes	Government of Canada	Gouvernement du Canada	Active
06674-12	2011-07-01	2014-06-30	2013-12-04	F10	10	1190	91	Public	911910	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	244	The Professional Association of Foreign Service Officers	L'Association professionnelle des agents du service extérieur	8	Independent-natl.	Synd. ind. national	4168	4168 - Program officers unique to government	4168 - Agents/agentes de programmes propres au gouvernement	Government of Canada	Gouvernement du Canada	Active
06902-10	2015-01-01	2021-12-31	2016-06-20	F20	20	6	91	Public	913910	No	24	Quebec		Rouyn-Noranda	Rouyn-Noranda	Quebec	Québec	600	Canadian Union of Public Employees	Syndicat canadien de la fonction publique	3	CLC	CTC	4	4 - Occupations in education, law and social, community and government services	4 - Enseignement, droit et services sociaux, communautaires et gouvernementaux	City of Rouyn-Noranda	Ville de Rouyn-Noranda	Current
07385-10	2012-04-01	2016-03-31	2012-04-01	F20	20	31	91	Private	914110	No	59	British Columbia		Lax Kw'alaams 1	Lax Kw'alaams 1	British Columbia	Colombie-Britannique	600	Canadian Union of Public Employees	Syndicat canadien de la fonction publique	3	CLC	CTC	14	14 - Office support occupations	14 - Personnel de soutien de bureau	Lax Kw'alaams Indian Band	Lax Kw'alaams Indian Band	Active
